,mean_diff,studentized,p_lower,p_consistent,p_upper
avg_linkage::HRP,3.095837307020228e-05,0.8301568496049062,0.8144,0.5828,0.7716
avg_linkage::HRP_Detoned,-6.99538649341698e-05,-0.6753764967015047,0.8144,0.5828,0.7716
avg_linkage::HRP_PartialCorr,-0.00010524413486659823,-1.2052243547611978,0.8144,0.5828,0.7716
avg_linkage::HRP_Dynamic_94,-0.00013057342245475375,-1.8165601368754423,0.8144,0.5828,0.7716
avg_linkage::HRP_TailDep,-5.1416707797333524e-05,-0.9689670182803957,0.8144,0.5828,0.7716
avg_linkage::HRP_TailDepShrunk,-6.218420459865226e-05,-1.0956814316185677,0.8144,0.5828,0.7716
avg_linkage::HRP_ShrunkCov,4.782233369160872e-05,1.1909166274929706,0.8144,0.5828,0.7716
avg_linkage::HRP_VolStd,8.409312732440979e-06,0.20954295418563904,0.8144,0.5828,0.7716
avg_linkage::HRP_PathSig,-6.352985301510048e-05,-1.0149957913117666,0.8144,0.5828,0.7716
avg_linkage::HRP_NodeEmbed,-9.078325667979176e-05,-1.2789622450637137,0.8144,0.5828,0.7716
avg_linkage::HRP_Contrastive,-6.986008713184247e-05,-1.0686411472425266,0.8144,0.5828,0.7716
avg_linkage::HRP_TS2Vec,-0.00012273055178464455,-1.499031942658282,0.8144,0.5828,0.7716
corrdist::pearson _ldp     _average,3.095837307020228e-05,0.8301568496049062,0.8144,0.5828,0.7716
corrdist::pearson _absolute_average,-3.729908780422981e-06,-0.09975071046663964,0.8144,0.5828,0.7716
corrdist::pearson _angular _average,2.1700478248656903e-05,0.5869735443796752,0.8144,0.5828,0.7716
corrdist::pearson _squared _average,-3.729908780422981e-06,-0.09975071046663964,0.8144,0.5828,0.7716
corrdist::spearman_ldp     _single,-0.00011626190709864632,-1.9424761865032678,0.8144,0.5828,0.7716
corrdist::spearman_ldp     _average,-2.4678720533923116e-06,-0.03938035607961434,0.8144,0.5828,0.7716
corrdist::spearman_absolute_single,-0.00011626190709864632,-1.9424761865032678,0.8144,0.5828,0.7716
corrdist::spearman_absolute_average,-3.277165218580459e-05,-0.5082292403701016,0.8144,0.5828,0.7716
corrdist::spearman_angular _single,-0.00011626190709864632,-1.9424761865032678,0.8144,0.5828,0.7716
corrdist::spearman_angular _average,-3.3033269358897404e-05,-0.5123135341959992,0.8144,0.5828,0.7716
corrdist::spearman_squared _single,-0.00011626190709864632,-1.9424761865032678,0.8144,0.5828,0.7716
corrdist::spearman_squared _average,-3.277165218580459e-05,-0.5082292403701016,0.8144,0.5828,0.7716
corrdist::kendall _ldp     _single,-5.54578963605123e-05,-1.2263457830963786,0.8144,0.5828,0.7716
corrdist::kendall _ldp     _average,-3.6596918839111866e-05,-0.7451829454432456,0.8144,0.5828,0.7716
corrdist::kendall _absolute_single,-5.54578963605123e-05,-1.2263457830963786,0.8144,0.5828,0.7716
corrdist::kendall _absolute_average,-3.331445668947712e-05,-0.6749170025273377,0.8144,0.5828,0.7716
corrdist::kendall _angular _single,-5.54578963605123e-05,-1.2263457830963786,0.8144,0.5828,0.7716
corrdist::kendall _angular _average,-2.96541567262228e-05,-0.6070042752618252,0.8144,0.5828,0.7716
corrdist::kendall _squared _single,-5.54578963605123e-05,-1.2263457830963786,0.8144,0.5828,0.7716
corrdist::kendall _squared _average,-3.331445668947712e-05,-0.6749170025273377,0.8144,0.5828,0.7716
detoned::Detoned_n1_ldp     _single,-7.0668352314433e-05,-0.6929620145073151,0.8144,0.5828,0.7716
detoned::Detoned_n1_ldp     _average,-6.99538649341698e-05,-0.6753764967015047,0.8144,0.5828,0.7716
detoned::Detoned_n1_ldp     _ward,-0.00010651022431587441,-1.1681241141558565,0.8144,0.5828,0.7716
detoned::Detoned_n1_absolute_single,-0.00010422764296497041,-1.1344615883970677,0.8144,0.5828,0.7716
detoned::Detoned_n1_absolute_average,-0.00013204949594307369,-1.4471402244881162,0.8144,0.5828,0.7716
detoned::Detoned_n1_absolute_ward,-0.00012093042440693514,-1.315095216121696,0.8144,0.5828,0.7716
detoned::Detoned_n1_angular _single,-7.0668352314433e-05,-0.6929620145073151,0.8144,0.5828,0.7716
detoned::Detoned_n1_angular _average,-6.975990713438041e-05,-0.6734928486982221,0.8144,0.5828,0.7716
detoned::Detoned_n1_angular _ward,-9.928041158755883e-05,-0.9999033573150986,0.8144,0.5828,0.7716
detoned::Detoned_n1_squared _single,-7.0668352314433e-05,-0.6929620145073151,0.8144,0.5828,0.7716
detoned::Detoned_n1_squared _average,-6.975990713438041e-05,-0.6734928486982221,0.8144,0.5828,0.7716
detoned::Detoned_n1_squared _ward,-0.00010361710595565154,-1.0437748299741572,0.8144,0.5828,0.7716
detoned::Detoned_n2_ldp     _single,-0.00012225660120424487,-1.1739933104990015,0.8144,0.5828,0.7716
detoned::Detoned_n2_ldp     _average,-0.00014509041251445373,-1.346254743116616,0.8144,0.5828,0.7716
detoned::Detoned_n2_ldp     _ward,-0.00010607201935076742,-1.099471415031142,0.8144,0.5828,0.7716
detoned::Detoned_n2_absolute_single,-0.00011226437191584156,-1.131685497730378,0.8144,0.5828,0.7716
detoned::Detoned_n2_absolute_average,-0.00013680121423763263,-1.4656386946609998,0.8144,0.5828,0.7716
detoned::Detoned_n2_absolute_ward,-0.00012897350109234194,-1.3156429717298608,0.8144,0.5828,0.7716
detoned::Detoned_n2_angular _single,-0.00012225660120424487,-1.1739933104990015,0.8144,0.5828,0.7716
detoned::Detoned_n2_angular _average,-0.0001426569315845001,-1.3281413382298695,0.8144,0.5828,0.7716
detoned::Detoned_n2_angular _ward,-0.00010514192871156585,-1.08987732500875,0.8144,0.5828,0.7716
detoned::Detoned_n2_squared _single,-0.00012225660120424487,-1.1739933104990015,0.8144,0.5828,0.7716
detoned::Detoned_n2_squared _average,-0.00014283883649437377,-1.3296772761715776,0.8144,0.5828,0.7716
detoned::Detoned_n2_squared _ward,-0.0001075684814451834,-1.1159767080690062,0.8144,0.5828,0.7716
detoned::Detoned_n3_ldp     _single,-0.00016235942952915036,-1.39362261672554,0.8144,0.5828,0.7716
detoned::Detoned_n3_ldp     _average,-0.00020040810135343095,-1.5638275616547366,0.8144,0.5828,0.7716
detoned::Detoned_n3_ldp     _ward,-0.00012279209287824853,-1.1334164484818403,0.8144,0.5828,0.7716
detoned::Detoned_n3_absolute_single,-0.00019356176014816384,-1.4989981338131966,0.8144,0.5828,0.7716
detoned::Detoned_n3_absolute_average,-0.00022206152788033256,-1.8545700515432688,0.8144,0.5828,0.7716
detoned::Detoned_n3_absolute_ward,-0.00015364815350555876,-1.5065319912414123,0.8144,0.5828,0.7716
detoned::Detoned_n3_angular _single,-0.00016235942952915036,-1.39362261672554,0.8144,0.5828,0.7716
detoned::Detoned_n3_angular _average,-0.00019867692661319398,-1.5561994540716693,0.8144,0.5828,0.7716
detoned::Detoned_n3_angular _ward,-0.00011652735530099262,-1.0722261194800493,0.8144,0.5828,0.7716
detoned::Detoned_n3_squared _single,-0.00016235942952915036,-1.39362261672554,0.8144,0.5828,0.7716
detoned::Detoned_n3_squared _average,-0.00019965338793180028,-1.5668195003219223,0.8144,0.5828,0.7716
detoned::Detoned_n3_squared _ward,-0.00011815375381121899,-1.0797377255062635,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.85_single,-6.700997385808754e-05,-0.9068865119055204,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.85_average,-0.00012133391238048136,-1.5016570174899782,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.85_ward,-0.00010492452419301876,-1.2392590580391607,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.90_single,-3.592953391735522e-05,-0.5287185360513857,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.90_average,-0.00014925839817475135,-2.113777609941309,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.90_ward,-2.5629555664486755e-05,-0.3164145725248563,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.94_single,-1.2522091328254729e-05,-0.18080252196038882,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.94_average,-0.00013057342245475375,-1.8165601368754423,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.94_ward,-6.739989747319927e-05,-1.0576053242223191,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.96_single,-6.370167411051636e-05,-0.9533777354151526,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.96_average,-0.00013228356186601332,-1.7964082293460983,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.96_ward,-0.00011232612018572412,-1.560760283213878,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.97_single,-8.314789525686415e-05,-1.1037837737882188,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.97_average,-7.049810300969016e-05,-1.0686043770970324,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.97_ward,-0.00011908790177804054,-1.9728327771365086,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.98_single,-6.870417786039929e-05,-0.9479804404575078,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.98_average,-3.288961295087483e-05,-0.48817714721974137,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.98_ward,-0.00012746028697291172,-2.0704499246758203,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.99_single,-1.2352460520449118e-05,-0.2848082488269121,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.99_average,-1.2285978176447582e-05,-0.2723565813612253,0.8144,0.5828,0.7716
dynamic::Dynamic_lam0.99_ward,-0.00013008413744554806,-2.366120598918835,0.8144,0.5828,0.7716
encoders_ext::ContrastiveX_ret+full6_single,-0.00010009179826109781,-1.4599488483354677,0.8144,0.5828,0.7716
encoders_ext::ContrastiveX_ret+full6_average,-7.067117281310038e-05,-1.1289644697425867,0.8144,0.5828,0.7716
encoders_ext::ContrastiveX_ret+full6_complete,-2.39627410360705e-05,-0.3512746993583337,0.8144,0.5828,0.7716
encoders_ext::TS2VecX_ret+full6_single,-5.36905915309356e-05,-0.9477372400469357,0.8144,0.5828,0.7716
encoders_ext::TS2VecX_ret+full6_average,-5.0609157246768066e-05,-0.7969120930476612,0.8144,0.5828,0.7716
encoders_ext::TS2VecX_ret+full6_complete,-2.0853773878537893e-05,-0.34187717133562356,0.8144,0.5828,0.7716
