name,sharpe_diff_vs_hrp,lw_p_value
HRP_Detoned,-0.0261219027023291,0.6736666666666666
HRP_PartialCorr,0.008739760042456468,0.8333333333333334
HRP_Dynamic_94,0.05096656741617584,0.13266666666666665
HRP_TailDep,-0.0016233250790086695,0.9576666666666667
HRP_TailDepShrunk,-0.015432797719249873,0.6546666666666666
HRP_ShrunkCov,-0.008682532017019323,0.6493333333333333
HRP_VolStd,-0.006134480752713355,0.7633333333333333
IVP,-0.0037100744785114326,0.9416666666666667
MVP,0.4336584393258234,0.052
ERC,-0.07091152960274924,0.2846666666666667
MaxDiv,-0.1963714572111871,0.2723333333333333
CS_MOM_eq21,-0.20407855172326472,0.217
RM_MOM,-0.20382760339978515,0.218
MOM_HRP,-0.05105641340301935,0.7696666666666667
HERC,-0.07432003567880595,0.5056666666666667
NCO,0.21829972146761853,0.233
HRP_PathSig,0.007433890172801626,0.8343333333333334
HRP_NodeEmbed,-0.016394193382021867,0.677
HRP_Contrastive,-0.011417174989082159,0.7026666666666667
HRP_TS2Vec,-0.01409679211295977,0.6786666666666666
HODL_BTC,0.5349552804546139,0.08133333333333333
HRP_Denoised,0.003917978214230497,0.8613333333333333
NCO_RT,-0.4625265558565163,0.21866666666666668
CRISP,0.31388145097199904,0.017333333333333333
NCO_CRISP,0.32023232120829487,0.021666666666666667
NCOML,0.42044048950409235,0.219
HRPSigmaMu,-0.028117547011548664,0.8413333333333334
