,mean_diff,studentized,p_lower,p_consistent,p_upper
HRP_Detoned,-4.48035614268304e-05,-0.348305019465312,0.59,0.48333333333333334,0.87
HRP_PartialCorr,-2.3494410066811418e-06,-0.023189819533209283,0.59,0.48333333333333334,0.87
HRP_Dynamic_94,9.6227339248808e-05,1.3442535060237089,0.59,0.48333333333333334,0.87
HRP_TailDep,-2.1482663145965207e-06,-0.042901735481469215,0.59,0.48333333333333334,0.87
HRP_TailDepShrunk,-2.8166438829720972e-05,-0.4322011113602727,0.59,0.48333333333333334,0.87
HRP_ShrunkCov,-1.5742750924396747e-05,-0.45085464614186616,0.59,0.48333333333333334,0.87
HRP_VolStd,-1.2659088665174166e-05,-0.34456125659920417,0.59,0.48333333333333334,0.87
IVP,-2.349441006681283e-06,-0.023189819533210674,0.59,0.48333333333333334,0.87
MVP,0.000659077751002179,1.3775930533723857,0.59,0.48333333333333334,0.87
ERC,-0.00014028814078416218,-0.9270137783689073,0.59,0.48333333333333334,0.87
MaxDiv,-0.0004253173899134395,-1.1601810983547236,0.59,0.48333333333333334,0.87
CS_MOM_eq21,-0.00042199105813238593,-1.253120800660177,0.59,0.48333333333333334,0.87
RM_MOM,-0.00017214785127836078,-0.2359929487460639,0.59,0.48333333333333334,0.87
MOM_HRP,-0.00012030595599488962,-0.33978250558126954,0.59,0.48333333333333334,0.87
HRP_PathSig,1.5687029447362806e-05,0.2396012093913907,0.59,0.48333333333333334,0.87
HRP_NodeEmbed,2.1062169908095886e-05,0.31802192328418544,0.59,0.48333333333333334,0.87
HRP_Contrastive,4.6811706103884126e-05,0.6974202292083687,0.59,0.48333333333333334,0.87
HRP_TS2Vec,7.198965892762267e-06,0.11991112720637692,0.59,0.48333333333333334,0.87
HODL_BTC,0.007476250953447027,1.0961382838141713,0.59,0.48333333333333334,0.87
