name,sharpe_diff_vs_hrp,lw_p_value
HRP_Detoned,-0.03452342525585772,0.403
HRP_PartialCorr,-0.02231552922158553,0.47733333333333333
HRP_Dynamic_94,0.0065651750774472495,0.8226666666666667
HRP_TailDep,-0.03405268295646635,0.11366666666666667
HRP_TailDepShrunk,-0.04108976526391339,0.071
HRP_ShrunkCov,0.0038254144052826122,0.7786666666666666
HRP_VolStd,-0.005841193154528468,0.7483333333333333
IVP,-0.045767575455535114,0.21166666666666667
MVP,0.31384558172906785,0.059
ERC,-0.07808887796267716,0.050666666666666665
MaxDiv,-0.01516541203861832,0.919
CS_MOM_eq21,-0.07632908625372825,0.5476666666666666
RM_MOM,-0.0764320445292831,0.5476666666666666
MOM_HRP,-0.009613028513523303,0.9416666666666667
HERC,-0.023085760966901847,0.7826666666666666
NCO,0.19151151909596464,0.218
HRP_PathSig,-0.027788089729131604,0.2773333333333333
HRP_NodeEmbed,-0.036883787469665696,0.18733333333333332
HRP_Contrastive,-0.031895396734087145,0.23766666666666666
HRP_TS2Vec,-0.03875764175052876,0.10633333333333334
HODL_BTC,0.12375647539103185,0.6063333333333333
NCO_RT,-0.7391510804255459,0.009
HRP_Denoised,-0.029467433686215516,0.11066666666666666
CRISP,0.24650647012533833,0.012333333333333333
NCO_CRISP,0.2353584797987892,0.010666666666666666
NCOML,0.059934900644669886,0.8043333333333333
HRPSigmaMu,-0.1366116649014607,0.20266666666666666
