,mean_diff,studentized,p_lower,p_consistent,p_upper
HRP_Detoned,-7.349730117573629e-05,-0.7289045807917632,0.6674,0.4634,0.7432
HRP_PartialCorr,-6.91276404874842e-05,-0.9221682949882758,0.6674,0.4634,0.7432
HRP_Dynamic_94,-1.4955369436882221e-05,-0.21580581309343036,0.6674,0.4634,0.7432
HRP_TailDep,-9.505411752928e-05,-1.6827320876674243,0.6674,0.4634,0.7432
HRP_TailDepShrunk,-9.799686071560204e-05,-1.6543300105640413,0.6674,0.4634,0.7432
HRP_ShrunkCov,9.979629092057751e-06,0.30019533856512787,0.6674,0.4634,0.7432
HRP_VolStd,-2.4458342895897283e-05,-0.5792244736345981,0.6674,0.4634,0.7432
IVP,-0.00010781918537428055,-1.2381611374248913,0.6674,0.4634,0.7432
MVP,0.000567832714658754,1.2229928807956518,0.6674,0.4634,0.7432
ERC,-0.0001337027403000936,-1.335691235795756,0.6674,0.4634,0.7432
MaxDiv,0.00019151509725133783,0.44732362600270253,0.6674,0.4634,0.7432
CS_MOM_eq21,-2.5012409328776485e-05,-0.0792208808058631,0.6674,0.4634,0.7432
RM_MOM,-0.001259613534776011,-1.9943594549199894,0.6674,0.4634,0.7432
MOM_HRP,0.00011700137600926977,0.3825058681629305,0.6674,0.4634,0.7432
HRP_PathSig,-7.3865555158052e-05,-1.2400611121877314,0.6674,0.4634,0.7432
HRP_NodeEmbed,-8.940293292525992e-05,-1.3673990389649024,0.6674,0.4634,0.7432
HRP_Contrastive,-8.760026875956885e-05,-1.2764020869886754,0.6674,0.4634,0.7432
HRP_TS2Vec,-9.387429334503856e-05,-1.6692503595571695,0.6674,0.4634,0.7432
HODL_BTC,-0.00021524510261558116,-0.419518896750229,0.6674,0.4634,0.7432
