,mean_diff,studentized,p_lower,p_consistent,p_upper
HRP_Detoned,-7.74114776491096e-05,-0.8034906754128617,0.431,0.572,0.572
HRP_PartialCorr,-3.768658869915096e-05,-0.5077398334211487,0.431,0.572,0.572
HRP_Dynamic_94,-2.2141344871187194e-05,-0.3120214012439058,0.431,0.572,0.572
HRP_TailDep,-6.5022756046679e-05,-1.2495526650320405,0.431,0.572,0.572
HRP_TailDepShrunk,-7.093192914436801e-05,-1.2877531132607367,0.431,0.572,0.572
HRP_ShrunkCov,-4.202839846297334e-05,-1.3081185225032352,0.431,0.572,0.572
HRP_VolStd,-6.342685162607253e-06,-0.149689171690102,0.431,0.572,0.572
IVP,-8.49919627133678e-05,-0.9650996833856191,0.431,0.572,0.572
MVP,0.0003839164869559104,0.9935958293107865,0.431,0.572,0.572
ERC,-0.00012105819535932674,-1.2599135087108155,0.431,0.572,0.572
MaxDiv,8.459634777285781e-05,0.17488709628093577,0.431,0.572,0.572
CS_MOM_eq21,0.0004296572685840827,1.2046251891855824,0.431,0.572,0.572
RM_MOM,-0.001251519248756224,-1.971105540129973,0.431,0.572,0.572
MOM_HRP,0.00028652175479618197,0.8373744690018301,0.431,0.572,0.572
HERC,0.0001721493399248615,0.5665553734259525,0.431,0.572,0.572
NCO,0.0001538355130105133,0.4713293417596524,0.431,0.572,0.572
HODL_BTC,-0.0002706202326429394,-0.5319488851236043,0.431,0.572,0.572
