date,n_eligible,n_included,included_symbols
2018-02-28,2,0,
2018-03-31,2,2,"BTCUSDT,ETHUSDT"
2018-04-30,2,2,"BTCUSDT,ETHUSDT"
2018-05-31,3,2,"BTCUSDT,ETHUSDT"
2018-06-30,4,3,"BTCUSDT,ETHUSDT,NEOUSDT"
2018-07-31,4,4,"BTCUSDT,ETHUSDT,NEOUSDT,LTCUSDT"
2018-08-31,4,4,"BTCUSDT,ETHUSDT,NEOUSDT,LTCUSDT"
2018-09-30,4,4,"BTCUSDT,ETHUSDT,NEOUSDT,LTCUSDT"
2018-10-31,6,4,"BTCUSDT,ETHUSDT,LTCUSDT,NEOUSDT"
2018-11-30,9,6,"BTCUSDT,XRPUSDT,ETHUSDT,ADAUSDT,LTCUSDT,NEOUSDT"
2018-12-31,11,9,"BTCUSDT,ETHUSDT,EOSUSDT,XRPUSDT,ADAUSDT,XLMUSDT,LTCUSDT,NEOUSDT,IOTAUSDT"
2019-01-31,11,10,"BTCUSDT,ETHUSDT,TRXUSDT,XRPUSDT,EOSUSDT,ADAUSDT,LTCUSDT,XLMUSDT,NEOUSDT,ETCUSDT"
2019-02-28,12,12,"BTCUSDT,ETHUSDT,XRPUSDT,EOSUSDT,LTCUSDT,TRXUSDT,NEOUSDT,XLMUSDT,ADAUSDT,ETCUSDT,VETUSDT,IOTAUSDT"
2019-03-31,12,12,"BTCUSDT,ETHUSDT,EOSUSDT,XRPUSDT,LTCUSDT,ADAUSDT,TRXUSDT,XLMUSDT,NEOUSDT,VETUSDT,ETCUSDT,IOTAUSDT"
2019-04-30,12,12,"BTCUSDT,ETHUSDT,EOSUSDT,LTCUSDT,XRPUSDT,ADAUSDT,TRXUSDT,NEOUSDT,ETCUSDT,XLMUSDT,VETUSDT,IOTAUSDT"
2019-05-31,12,12,"BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,EOSUSDT,TRXUSDT,ADAUSDT,NEOUSDT,XLMUSDT,ETCUSDT,IOTAUSDT,VETUSDT"
2019-06-30,12,12,"BTCUSDT,ETHUSDT,LTCUSDT,XRPUSDT,EOSUSDT,TRXUSDT,ADAUSDT,NEOUSDT,ETCUSDT,XLMUSDT,VETUSDT,IOTAUSDT"
2019-07-31,14,12,"BTCUSDT,ETHUSDT,EOSUSDT,LTCUSDT,XRPUSDT,TRXUSDT,NEOUSDT,ADAUSDT,ETCUSDT,XLMUSDT,VETUSDT,IOTAUSDT"
2019-08-31,10,10,"BTCUSDT,ETHUSDT,XRPUSDT,LTCUSDT,EOSUSDT,LINKUSDT,TRXUSDT,ADAUSDT,NEOUSDT,ETCUSDT"
2019-09-30,12,11,"BTCUSDT,ETHUSDT,EOSUSDT,TRXUSDT,LTCUSDT,XRPUSDT,LINKUSDT,ETCUSDT,ADAUSDT,XLMUSDT,NEOUSDT"
2019-10-31,16,12,"BTCUSDT,ETHUSDT,XRPUSDT,LINKUSDT,EOSUSDT,TRXUSDT,LTCUSDT,ADAUSDT,ETCUSDT,XLMUSDT,FETUSDT,NEOUSDT"
2019-11-30,18,16,"BTCUSDT,ETHUSDT,EOSUSDT,XRPUSDT,LTCUSDT,TRXUSDT,LINKUSDT,ADAUSDT,NEOUSDT,XLMUSDT,ATOMUSDT,FETUSDT,ETCUSDT,MATICUSDT,XMRUSDT,BATUSDT"
2019-12-31,21,18,"BTCUSDT,ETHUSDT,TRXUSDT,MATICUSDT,XRPUSDT,EOSUSDT,LTCUSDT,VETUSDT,LINKUSDT,ATOMUSDT,ETCUSDT,FETUSDT,ADAUSDT,XMRUSDT,NEOUSDT,XLMUSDT,ZECUSDT,BATUSDT"
2020-01-31,20,19,"BTCUSDT,ETHUSDT,ETCUSDT,LTCUSDT,EOSUSDT,XRPUSDT,TRXUSDT,DASHUSDT,LINKUSDT,ADAUSDT,ZECUSDT,XLMUSDT,MATICUSDT,ATOMUSDT,XMRUSDT,VETUSDT,NEOUSDT,FETUSDT,BATUSDT"
