strategy,sharpe_vs_hrp,se_ann,min_detectable_edge_80pct
HRP_ShrunkCov,0.0038254144052826122,0.013899618349654176,0.03891893137903169
HRP_VolStd,-0.005841193154528468,0.017807431612914083,0.04986080851615943
HRP_Denoised,-0.029467433686215516,0.018148978261261644,0.0508171391315326
HRP_TailDep,-0.03405268295646635,0.022264290785096987,0.06234001419827156
HRP_TailDepShrunk,-0.04108976526391339,0.023136132052753784,0.06478116974771059
HRP_TS2Vec,-0.03875764175052876,0.023520408354248987,0.06585714339189716
HRP_PathSig,-0.027788089729131604,0.02486133025512003,0.06961172471433608
HRP_Contrastive,-0.031895396734087145,0.02711578491861429,0.07592419777212
HRP_NodeEmbed,-0.036883787469665696,0.027613831855400554,0.07731872919512155
HRP_Dynamic_94,0.0065651750774472495,0.028772690252166555,0.08056353270606635
HRP_PartialCorr,-0.02231552922158553,0.030298007462684396,0.08483442089551631
IVP,-0.045767575455535114,0.03546395795605827,0.09929908227696316
ERC,-0.07808887796267716,0.038908630158945696,0.10894416444504794
HRP_Detoned,-0.03452342525585772,0.041319992914742816,0.11569598016127988
HERC,-0.023085760966901847,0.08289476267731521,0.23210533549648257
NCO_CRISP,0.2353584797987892,0.09208430956760442,0.2578360667892924
CRISP,0.24650647012533833,0.09732565882875542,0.27251184472051515
MOM_HRP,-0.009613028513523303,0.12176493605739261,0.3409418209606993
CS_MOM_eq21,-0.07632908625372825,0.12550218574664923,0.35140612009061784
RM_MOM,-0.0764320445292831,0.12554739348362445,0.35153270175414847
MaxDiv,-0.01516541203861832,0.1415646495433778,0.3963810187214578
NCO,0.19151151909596464,0.150760734755258,0.42213005731472236
MVP,0.31384558172906785,0.16815786688374576,0.4708420272744881
HODL_BTC,0.12375647539103185,0.2435774618266819,0.6820168931147094
NCO_RT,-0.7391510804255459,0.2832802822973577,0.7931847904326015
