snapshot_date,learning_rate,max_depth,n_estimators,cv_score,n_train,n_univ
2020-01-31,0.03,3,200,-0.09846178193887074,13663,22
2020-02-29,0.03,3,200,-0.10693466663360596,15300,23
2020-03-31,0.03,3,200,-0.14511246730883917,17174,24
2020-04-30,0.03,3,200,-0.14525659133990607,19051,25
2020-05-31,0.03,3,200,-0.14261797070503235,21093,27
2020-06-30,0.03,3,200,-0.14599592487017313,23116,33
2020-07-31,0.03,3,200,-0.14633496354023615,25287,34
2020-08-31,0.03,3,200,-0.15884057184060416,27518,44
2020-09-30,0.03,3,200,-0.15613610794146857,29761,40
2020-10-31,0.03,3,200,-0.13648857921361923,32191,34
2020-11-30,0.03,3,200,-0.14096074551343918,34737,37
2020-12-31,0.03,3,200,-0.14746583004792532,37791,37
2021-01-31,0.03,3,200,-0.16095471878846487,41158,43
2021-02-28,0.03,3,200,-0.23738090693950653,44329,45
2021-03-31,0.03,3,200,-0.2781253506739934,47937,49
2021-04-30,0.03,3,200,-0.2955865164597829,51462,49
2021-05-31,0.03,3,200,-0.27524131039778393,55201,48
2021-06-30,0.03,3,200,-0.2738761305809021,58945,48
2021-07-31,0.03,3,200,-0.28765971461931866,63005,47
2021-08-31,0.03,3,200,-0.30557681620121,67242,49
2021-09-30,0.03,3,200,-0.2906309465567271,71504,49
2021-10-31,0.03,3,200,-0.2556893676519394,76023,50
2021-11-30,0.03,3,200,-0.2439666191736857,80492,48
2021-12-31,0.03,3,200,-0.24158596992492676,85295,49
2022-01-31,0.03,3,200,-0.247151717543602,90223,51
2022-02-28,0.03,3,200,-0.24469387531280518,94757,50
2022-03-31,0.03,3,200,-0.2500399599472682,99937,48
2022-04-30,0.03,3,200,-0.23034042616685232,104999,47
2022-05-31,0.03,3,200,-0.2279511938492457,110264,45
2022-06-30,0.03,3,200,-0.22095161179701486,115369,47
2022-07-31,0.03,3,200,-0.22655644019444784,120725,47
2022-08-31,0.03,3,200,-0.21814596156279245,126193,47
2022-09-30,0.03,3,200,-0.21146256724993387,131588,46
2022-10-31,0.03,3,200,-0.20739834507306418,137135,48
2022-11-30,0.03,3,200,-0.20279386142889658,142374,46
2022-12-31,0.03,3,200,-0.19698009391625723,147655,47
2023-01-31,0.03,3,200,-0.19530611485242844,152811,48
2023-02-28,0.03,3,200,-0.19282719741264978,157450,49
2023-03-31,0.03,3,200,-0.1817633459965388,162561,50
2023-04-30,0.03,3,200,-0.16962938259045282,167505,51
2023-05-31,0.03,3,200,-0.15162508686383566,172634,48
2023-06-30,0.03,3,200,-0.14352080474297205,177711,46
2023-07-31,0.03,3,200,-0.1373153974612554,183103,47
2023-08-31,0.03,3,200,-0.12962164481480917,188584,45
2023-09-30,0.03,3,200,-0.1272724245985349,193950,48
2023-10-31,0.03,3,200,-0.12459692358970642,199504,51
2023-11-30,0.03,3,200,-0.12179439390699069,204887,45
2023-12-31,0.03,3,200,-0.11816229298710823,210379,44
2024-01-31,0.03,3,200,-0.11602189267675082,213903,44
2024-02-29,0.03,3,200,-0.11344743892550468,217011,48
2024-03-31,0.03,3,200,-0.11312391981482506,220300,48
2024-04-30,0.03,3,200,-0.10928292075792949,225220,49
2024-05-31,0.03,3,200,-0.10519373416900635,230849,49
2024-06-30,0.03,3,200,-0.10181460281213124,236345,51
2024-07-31,0.03,3,200,-0.10146731386582057,241888,48
2024-08-31,0.03,3,200,-0.10011517629027367,247293,42
2024-09-30,0.03,3,200,-0.09826403359572093,252315,44
2024-10-31,0.03,3,200,-0.09716799855232239,257478,47
2024-11-30,0.03,3,200,-0.0972357007364432,262383,49
2024-12-31,0.03,3,200,-0.10136829440792401,267351,50
2025-01-31,0.03,3,200,-0.10142754266659419,272148,51
2025-02-28,0.03,3,200,-0.10272087901830673,276436,49
2025-03-31,0.03,3,200,-0.1033119906981786,281020,50
2025-04-30,0.03,3,200,-0.10553407669067383,285112,48
2025-05-31,0.03,3,200,-0.10579415659109752,288959,48
2025-06-30,0.03,3,200,-0.10550575703382492,292619,48
2025-07-31,0.03,3,200,-0.10583324233690898,296275,49
2025-08-31,0.03,3,200,-0.10477632284164429,299871,48
2025-09-30,0.03,3,200,-0.10269954552253087,303305,47
2025-10-31,0.03,3,200,-0.1025234858194987,306747,47
2025-11-30,0.03,3,200,-0.10257487495740254,310058,49
2025-12-31,0.03,3,200,-0.10223564008871715,313401,46
2026-01-31,0.03,3,200,-0.10097923129796982,316671,47
2026-02-28,0.03,3,200,-0.10168225814898808,319533,47
2026-03-31,0.03,3,200,-0.10100152095158894,322575,47
2026-04-30,0.03,3,200,-0.10077380885680516,325255,46
